,SNRin,Method,Parameter,Signal_id,Repetition,QRF
149,0,contour_filtering,"((), {})",HermiteFunction,49,2.3093992326955433
150,0,contour_filtering,"((), {})",LinearChirp,0,2.168137712384974
151,0,contour_filtering,"((), {})",LinearChirp,1,2.299938659099388
152,0,contour_filtering,"((), {})",LinearChirp,2,2.09238299127862
153,0,contour_filtering,"((), {})",LinearChirp,3,2.224850644101086
154,0,contour_filtering,"((), {})",LinearChirp,4,2.312614915956352
155,0,contour_filtering,"((), {})",LinearChirp,5,2.0445910872770776
156,0,contour_filtering,"((), {})",LinearChirp,6,1.944786860872553
157,0,contour_filtering,"((), {})",LinearChirp,7,2.155686623377226
158,0,contour_filtering,"((), {})",LinearChirp,8,2.106969087294914
159,0,contour_filtering,"((), {})",LinearChirp,9,2.2290216705445265
160,0,contour_filtering,"((), {})",LinearChirp,10,2.380057433217047
161,0,contour_filtering,"((), {})",LinearChirp,11,2.173082471555958
162,0,contour_filtering,"((), {})",LinearChirp,12,2.402462832622395
163,0,contour_filtering,"((), {})",LinearChirp,13,2.4089198080336858
164,0,contour_filtering,"((), {})",LinearChirp,14,2.504284474707918
165,0,contour_filtering,"((), {})",LinearChirp,15,1.9317492224894801
166,0,contour_filtering,"((), {})",LinearChirp,16,2.143669189030977
167,0,contour_filtering,"((), {})",LinearChirp,17,2.359934996768263
168,0,contour_filtering,"((), {})",LinearChirp,18,2.164726080876374
169,0,contour_filtering,"((), {})",LinearChirp,19,2.0131377990105124
170,0,contour_filtering,"((), {})",LinearChirp,20,2.3000848246502152
171,0,contour_filtering,"((), {})",LinearChirp,21,1.7995076695740355
172,0,contour_filtering,"((), {})",LinearChirp,22,2.361922900641276
173,0,contour_filtering,"((), {})",LinearChirp,23,2.2590777582263986
174,0,contour_filtering,"((), {})",LinearChirp,24,2.1523669124013143
175,0,contour_filtering,"((), {})",LinearChirp,25,1.9587125567120496
176,0,contour_filtering,"((), {})",LinearChirp,26,1.9674943838223202
177,0,contour_filtering,"((), {})",LinearChirp,27,2.610326084197678
178,0,contour_filtering,"((), {})",LinearChirp,28,2.1820568102946787
179,0,contour_filtering,"((), {})",LinearChirp,29,2.141395919456822
180,0,contour_filtering,"((), {})",LinearChirp,30,2.212237299990531
181,0,contour_filtering,"((), {})",LinearChirp,31,2.3856492156238414
182,0,contour_filtering,"((), {})",LinearChirp,32,2.0528399156140837
183,0,contour_filtering,"((), {})",LinearChirp,33,2.1543569360212973
184,0,contour_filtering,"((), {})",LinearChirp,34,2.0476200337277453
185,0,contour_filtering,"((), {})",LinearChirp,35,2.251596927272449
186,0,contour_filtering,"((), {})",LinearChirp,36,2.3545737523363854
187,0,contour_filtering,"((), {})",LinearChirp,37,2.107280768150119
188,0,contour_filtering,"((), {})",LinearChirp,38,1.9852478111268663
189,0,contour_filtering,"((), {})",LinearChirp,39,2.241790828264939
190,0,contour_filtering,"((), {})",LinearChirp,40,2.579038997274326
191,0,contour_filtering,"((), {})",LinearChirp,41,1.9550420549693612
192,0,contour_filtering,"((), {})",LinearChirp,42,2.3008577638322074
193,0,contour_filtering,"((), {})",LinearChirp,43,1.9489664883914783
194,0,contour_filtering,"((), {})",LinearChirp,44,2.2540878544052547
195,0,contour_filtering,"((), {})",LinearChirp,45,1.8325040665791614
196,0,contour_filtering,"((), {})",LinearChirp,46,2.129366615510032
197,0,contour_filtering,"((), {})",LinearChirp,47,2.270786836860785
198,0,contour_filtering,"((), {})",LinearChirp,48,2.1912723846815267
199,0,contour_filtering,"((), {})",LinearChirp,49,2.1628508992733066
200,0,contour_filtering,"((), {})",McCosPlusTone,0,2.1989748278254155
201,0,contour_filtering,"((), {})",McCosPlusTone,1,2.1857453686882202
202,0,contour_filtering,"((), {})",McCosPlusTone,2,2.0274330376926226
203,0,contour_filtering,"((), {})",McCosPlusTone,3,1.9988474140451622
204,0,contour_filtering,"((), {})",McCosPlusTone,4,1.8958639385125162
205,0,contour_filtering,"((), {})",McCosPlusTone,5,2.0002408631692727
206,0,contour_filtering,"((), {})",McCosPlusTone,6,2.467533420240587
207,0,contour_filtering,"((), {})",McCosPlusTone,7,2.0244961082542434
208,0,contour_filtering,"((), {})",McCosPlusTone,8,1.7791503306841698
209,0,contour_filtering,"((), {})",McCosPlusTone,9,2.193764722864849
210,0,contour_filtering,"((), {})",McCosPlusTone,10,2.5039087695000894
211,0,contour_filtering,"((), {})",McCosPlusTone,11,2.1958933831417986
212,0,contour_filtering,"((), {})",McCosPlusTone,12,2.2262394923993676
213,0,contour_filtering,"((), {})",McCosPlusTone,13,1.9643897236721588
214,0,contour_filtering,"((), {})",McCosPlusTone,14,2.1408901759299184
215,0,contour_filtering,"((), {})",McCosPlusTone,15,2.105987487415934
216,0,contour_filtering,"((), {})",McCosPlusTone,16,2.4810455874580155
217,0,contour_filtering,"((), {})",McCosPlusTone,17,2.0535314391136814
218,0,contour_filtering,"((), {})",McCosPlusTone,18,1.9330676794564283
219,0,contour_filtering,"((), {})",McCosPlusTone,19,2.146409574007087
220,0,contour_filtering,"((), {})",McCosPlusTone,20,2.082899125098806
221,0,contour_filtering,"((), {})",McCosPlusTone,21,2.1218072318660006
222,0,contour_filtering,"((), {})",McCosPlusTone,22,1.9143125061265145
223,0,contour_filtering,"((), {})",McCosPlusTone,23,2.13790511725887
224,0,contour_filtering,"((), {})",McCosPlusTone,24,1.9213548783300327
225,0,contour_filtering,"((), {})",McCosPlusTone,25,2.0603555090921404
226,0,contour_filtering,"((), {})",McCosPlusTone,26,1.947556006660909
227,0,contour_filtering,"((), {})",McCosPlusTone,27,1.9903435551964392
228,0,contour_filtering,"((), {})",McCosPlusTone,28,1.9600192285573037
229,0,contour_filtering,"((), {})",McCosPlusTone,29,2.2777589726602674
230,0,contour_filtering,"((), {})",McCosPlusTone,30,1.9512130579426277
231,0,contour_filtering,"((), {})",McCosPlusTone,31,1.9561222271384726
232,0,contour_filtering,"((), {})",McCosPlusTone,32,2.163962088896743
